"","Sample","PeakBin","PeakStartBin","PeakEndBin","PeakWidth","PeakWidthChange","PeakScore","PeakScoreChange","PeakShift","WindowSize"
"1","0 h",501,279,720,4410,"Control",79.537895,"Control","Control",4
"2","2 h",502,393,610,2170,"-50.79%",14.864835,"-81.31%","Peak shifted right by 10 bps",4
"3","8 h",502,411,590,1790,"-59.41%",12.378606,"-84.44%","Peak shifted right by 10 bps",4
"4","24 h",501,413,592,1790,"-59.41%",8.511171,"-89.3%","No Shift",4
"5","0 h",501,279,720,4410,"Control",79.537895,"Control","Control",5
"6","2 h",502,393,610,2170,"-50.79%",14.864835,"-81.31%","Peak shifted right by 10 bps",5
"7","8 h",502,411,590,1790,"-59.41%",12.378606,"-84.44%","Peak shifted right by 10 bps",5
"8","24 h",501,413,592,1790,"-59.41%",8.511171,"-89.3%","No Shift",5
"9","0 h",501,279,720,4410,"Control",79.537895,"Control","Control",8
"10","2 h",502,393,610,2170,"-50.79%",14.864835,"-81.31%","Peak shifted right by 10 bps",8
"11","8 h",502,411,590,1790,"-59.41%",12.378606,"-84.44%","Peak shifted right by 10 bps",8
"12","24 h",501,413,592,1790,"-59.41%",8.511171,"-89.3%","No Shift",8
"13","0 h",501,279,720,4410,"Control",79.537895,"Control","Control",10
"14","2 h",502,393,610,2170,"-50.79%",14.864835,"-81.31%","Peak shifted right by 10 bps",10
"15","8 h",502,411,590,1790,"-59.41%",12.378606,"-84.44%","Peak shifted right by 10 bps",10
"16","24 h",501,413,592,1790,"-59.41%",8.511171,"-89.3%","No Shift",10
